mp-8 Re2
mp-49 Os2
mp-11334 W8
mp-142 Ga4
mp-973111 In2
mp-1056037 V
mp-101 Ir
mp-149 Si2
mp-1186916 Rh4
mp-102 Co4
mp-150 Fe
mp-1010136 Cu
mp-133 Sb
mp-1008634 Au2
mp-1183144 Al4
mp-999498 N4
mp-124 Ag
mp-2 Pd
mp-126 Pt
mp-1014111 Ni4
mp-79 Zn2
mp-1061133 Ru2
mp-1183591 Cd4
mp-158 As4
mp-129 Mo
mp-17 Cr8
mp-1007760 Ge4
mp-72 Ti3
mp-20745 Pb2
mp-127 Na
mp-1183484 Ca4
mp-75 Nb
mp-1184755 K2
mp-48 C4
mp-1184554 Hg2
mp-105 Te4
mp-113 Tc2
mp-6986 Ta
mp-36 Sc
mp-1187717 Y4
mp-100 Hf
mp-131 Zr2
mp-1182070 Bi4
mp-82 Tl2
mp-1022725 Sn
mp-8634 Mn
mp-139 Sr2
mp-1183227 AgAu
mp-863750 AgAu3
mp-570687 Ag2Cl2
mp-560025 Ag4S2
mp-1229100 Ag2Se
mp-1229101 Ag2Te
mp-1183209 AgPt
mp-8881 Al2As2
mp-1183223 Al2Au6
mp-661 Al2N2
mp-1550 AlP
mp-1079182 Al2Pt6
mp-16526 Al4Pt8
mp-1018100 Al2Sb2
mp-2715 As8Co4
mp-21873 As8Ni4
mp-766 As4Ru2
mp-15681 As4Cr2
mp-2008 As4Fe2
mp-22240 As4Mn4
mp-590 As6Ni6
mp-1072660 As4V2
mp-1079254 As3Co6
mp-15679 As4Co4
mp-568565 As2Cr2
mp-427 As4Fe4
mp-2534 AsGa
mp-569600 As4Ge3
mp-1007652 As2In2
mp-9998 As4Mo4
mp-1136 As2Na6
mp-2059 As2Nb2
mp-976930 As2Ni6
mp-22079 As4Rh4
mp-15650 As4Ru4
mp-1219457 AsSb
mp-2052 AsSc
mp-570744 As4Si3
mp-2182 AsSn
mp-570377 As4Sn3
mp-1936 As2Ta2
mp-10052 As2Ti2
mp-19940 As4V4
mp-933 AsY
mp-10054 AsZr
mp-947 Au4S2
mp-2667 AuCs
mp-570895 Au2Cu2
mp-569683 Au6In2
